feature,importance
fiyat_diff_1,0.1006305241959605
aylik_tufe,0.08926858939473964
fiyat_lag1,0.08039787955304299
fiyat_diff_2,0.06516018661052375
konya_ort_sicaklik,0.058230787153082074
fiyat_spread,0.05671934510402677
ay,0.0538781521027053
antalya_ort_sicaklik,0.05312712693186723
roll6_std,0.046538084375370076
diff_roll3_ort,0.03838576588427514
urun_kod,0.03616160273116918
roll3_ort,0.032140933392923676
diff_lag1,0.03097678327940119
momentum_pct,0.028209156833057344
roll6_ort,0.02668719350360507
fiyat_lag6,0.026358181031185333
ceyrek,0.022048732306364255
volatilite_3,0.01717275945131583
fiyat_lag12,0.014724785490102553
fiyat_lag2,0.014478548266538022
diff_roll3_std,0.013866397511032422
diff_lag2,0.013132599632293105
fiyat_lag3,0.01121314962179536
dolar_kuru,0.010472992783441845
lojistik,0.009341378410754853
roll3_std,0.009319067070348715
konya_toplam_yagis,0.007409127254331352
mazot_fiyati,0.0058683700340119134
ay_sin,0.005843020956577879
konya_nem,0.005479279044626628
yil,0.0054650478713417685
ay_cos,0.004435916741240759
son3_yon_toplam,0.003595353031365046
hassasiyet_katsayisi,0.0019986052126077496
son_yon,0.0009953339408377213
mevsim_faktoru,0.00018128417404878367
ithal_mi,8.795911808837701e-05
