urun_adi,ay_key,ort_fiyat,en_dusuk,en_yuksek,ithal_mi,hassasiyet_katsayisi,mevsim_faktoru,ay_start,yil,ay,ceyrek,ay_sin,ay_cos,fiyat_spread,urun_kod,fiyat_lag1,fiyat_lag2,fiyat_lag3,fiyat_lag6,fiyat_lag12,roll3_ort,roll3_std,roll6_ort,roll6_std,momentum_pct,fiyat_diff_1,fiyat_diff_2,diff_lag1,diff_lag2,diff_roll3_ort,diff_roll3_std,son_yon,son3_yon_toplam,volatilite_3,hedef_abs,hedef_aylik,konya_ort_sicaklik,konya_toplam_yagis,konya_nem,antalya_ort_sicaklik,dolar_kuru,mazot_fiyati,aylik_tufe,lojistik
acur,2024-09,20.0,15.0,25.0,0,1.2,0,2024-09-01,2024,9,3,-1.0,-1.8369701987210297e-16,10.0,0,20.0,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,-20.0,20.126666666666665,1.1700000000000002,53.233333333333334,25.41,33.548,62.5,3.0,2.09675
acur,2024-10,0.0,0.0,0.0,0,1.2,0,2024-10-01,2024,10,4,-0.8660254037844386,0.5000000000000001,0.0,0,20.0,20.0,,,,20.0,0.0,20.0,0.0,-1.0,-20.0,-20.0,0.0,,,,-1.0,0.0,0.0,0.0,0.0,13.412903225806453,0.016129032258064516,53.096774193548384,21.161290322580644,34.30516129032258,63.0,2.9,2.1612251612903224
acur,2024-11,0.0,0.0,0.0,0,1.2,0,2024-11-01,2024,11,4,-0.5000000000000004,0.8660254037844384,0.0,0,0.0,20.0,20.0,,,13.333333333333334,11.547005383792515,13.333333333333334,11.547005383792515,,0.0,-20.0,-20.0,0.0,-10.0,14.142135623730951,0.0,-1.0,0.8660254037844386,0.0,0.0,6.3533333333333335,0.8400000000000001,69.9,14.836666666666668,34.53066666666667,64.0,2.2,2.2099626666666667
acur,2024-12,0.0,0.0,0.0,0,1.2,0,2024-12-01,2024,12,4,-2.4492935982947064e-16,1.0,0.0,0,0.0,0.0,20.0,,,6.666666666666667,11.547005383792513,10.0,11.547005383792515,,0.0,0.0,0.0,-20.0,-6.666666666666667,11.547005383792515,0.0,-1.0,1.7320508075688767,0.0,0.0,4.1,1.4387096774193548,84.2258064516129,11.82258064516129,35.031612903225806,65.0,1.0,2.2770548387096774
ahududu (paket),2026-03,250.0,200.0,300.0,0,1.2,0,2026-03-01,2026,3,1,1.0,6.123233995736766e-17,100.0,1,250.0,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,271.42857142857144,21.428571428571445,6.148387096774194,2.0064516129032257,61.12903225806452,12.983870967741936,41.29483870967742,77.0,2.5,3.1797025806451615
altin çi̇lek (paket),2026-03,175.0,150.0,200.0,0,1.2,0,2026-03-01,2026,3,1,1.0,6.123233995736766e-17,50.0,2,175.0,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,153.57142857142858,-21.428571428571416,6.148387096774194,2.0064516129032257,61.12903225806452,12.983870967741936,41.29483870967742,77.0,2.5,3.1797025806451615
ananas,2022-02,20.285714285714285,16.714285714285715,23.857142857142858,1,1.2,0,2022-02-01,2022,2,1,0.8660254037844386,0.5000000000000001,7.142857142857142,3,18.5,,,,,,,,,0.09652509652509655,1.7857142857142847,,,,,,1.0,0.0,,24.88888888888889,4.603174603174605,1.2107142857142856,2.2964285714285713,75.64285714285714,10.328571428571427,13.680714285714286,23.5,4.8,0.32149678571428575
ananas,2022-03,24.88888888888889,20.0,29.77777777777778,1,1.2,0,2022-03-01,2022,3,1,1.0,6.123233995736766e-17,9.777777777777779,3,20.285714285714285,18.5,,,,19.392857142857142,1.2626906806902627,19.392857142857142,1.2626906806902627,0.22691705790297356,4.603174603174605,6.388888888888889,1.7857142857142847,,,,1.0,1.0,0.06511112165621981,25.0,0.11111111111111072,0.6161290322580646,2.435483870967742,65.93548387096774,9.387096774193548,14.706129032258064,26.0,5.5,0.38235935483870964
ananas,2022-04,25.0,20.0,30.0,1,1.2,0,2022-04-01,2022,4,2,0.8660254037844387,-0.4999999999999998,10.0,3,24.88888888888889,20.285714285714285,18.5,,,21.224867724867725,3.296358929993407,21.224867724867725,3.296358929993407,0.004464285714285587,0.11111111111111072,4.714285714285715,4.603174603174605,1.7857142857142847,3.1944444444444446,1.992245296200195,1.0,2.0,0.15530645338869598,25.857142857142858,0.8571428571428577,14.139999999999999,0.28,37.8,17.029999999999998,14.697000000000001,27.0,7.3,0.39681900000000003
ananas,2022-05,25.857142857142858,21.714285714285715,30.0,1,1.2,0,2022-05-01,2022,5,2,0.49999999999999994,-0.8660254037844387,8.285714285714285,3,25.0,24.88888888888889,20.285714285714285,,,23.391534391534393,2.690292793924185,22.168650793650794,3.287384074597592,0.03428571428571425,0.8571428571428577,0.9682539682539684,0.11111111111111072,4.603174603174605,2.1666666666666665,2.270132626433395,1.0,3.0,0.11501138612342704,27.0,1.1428571428571423,15.73225806451613,1.2,51.03225806451613,22.251612903225805,15.886774193548387,28.5,2.98,0.45277306451612903
