tarih,urun_adi,birim,en_dusuk,en_yuksek,ithal_mi,hassasiyet_katsayisi,mevsim_faktoru,ort_fiyat
2024-01-02,bi̇ber (ci̇n),Kg,30.0,60.0,0,1.2,0,45.0
2024-01-02,bi̇ber (çarli̇),Kg,20.0,28.0,0,1.2,0,24.0
2024-01-02,bi̇ber (dolma),Kg,25.0,36.0,0,1.2,0,30.5
2024-01-02,bi̇ber (kil),Kg,40.0,50.0,0,1.2,0,45.0
2024-01-02,bi̇ber (kapya),Kg,20.0,37.0,0,1.2,0,28.5
2024-01-02,bi̇ber (si̇vri̇),Kg,24.0,35.0,0,1.2,0,29.5
2024-01-02,bi̇ber (köy),Kg,25.0,35.0,0,1.2,0,30.0
2024-01-02,brokoli̇,Kg,18.0,27.0,0,1.5,0,22.5
2024-01-02,dere otu,Bağ,5.0,7.0,0,1.2,0,6.0
2024-01-02,domates (çeri),Kg,30.0,43.0,0,1.5,0,36.5
2024-01-02,domates (muhteli̇f),Kg,20.0,35.0,0,1.5,0,27.5
2024-01-02,domates (salkim),Kg,23.0,38.0,0,1.5,0,30.5
2024-01-02,domates (salkim kutu),Kg,27.0,35.0,0,1.5,0,31.0
2024-01-02,domates (köy),Kg,22.0,33.0,0,1.5,0,27.5
2024-01-02,domates (i̇ki̇nci̇),Kg,14.0,20.0,0,1.5,0,17.0
2024-01-02,ekşi̇ ot (bağ),Bağ,4.0,7.5,0,1.2,0,5.75
2024-01-02,fasulye (muhteli̇f),Kg,30.0,43.0,0,1.2,0,36.5
2024-01-02,fesleğen (reyhan),Bağ,6.0,10.0,0,1.2,0,8.0
2024-01-02,ispanak,Kg,10.0,16.0,0,1.2,0,13.0
2024-01-02,kabak (beyaz),Kg,20.0,40.0,0,1.2,0,30.0
2024-01-02,kabak (kara),Kg,20.0,40.0,0,1.2,0,30.0
2024-01-02,karnabahar,Kg,7.0,16.0,0,1.4,0,11.5
2024-01-02,lahana (beyaz),Kg,5.0,10.0,0,1.2,1,7.5
2024-01-02,lahana (mor),Kg,6.0,12.0,0,1.2,1,9.0
2024-01-02,mantar (kültür),Kg,60.0,80.0,0,1.2,0,70.0
2024-01-02,marul (aysberk),Adet,17.0,24.0,0,1.6,0,20.5
2024-01-02,marul (mor),Adet,15.0,21.0,0,1.6,0,18.0
2024-01-02,marul (muhteli̇f),Adet,12.0,17.0,0,1.6,0,14.5
2024-01-02,maydonoz,Bağ,3.0,5.0,0,1.2,0,4.0
2024-01-02,nane (bağ),Bağ,7.0,12.0,0,1.6,0,9.5
2024-01-02,patates,Kg,12.0,17.0,0,1.0,1,14.5
2024-01-02,patlican (kemer),Kg,20.0,25.0,0,1.2,0,22.5
2024-01-02,patlican (topak),Kg,20.0,25.0,0,1.2,0,22.5
2024-01-02,pirasa,Kg,10.0,15.0,0,1.2,0,12.5
2024-01-02,roka (bağ),Bağ,5.0,8.0,0,1.2,0,6.5
2024-01-02,salatalik (si̇lor),Kg,22.0,35.0,0,1.2,0,28.5
2024-01-02,salatalik (muhteli̇f),Kg,19.0,25.0,0,1.2,0,22.0
2024-01-02,sarimsak (kuru),Kg,50.0,80.0,0,1.2,0,65.0
2024-01-02,semi̇z otu (bağ),Bağ,7.0,12.0,0,1.2,0,9.5
2024-01-02,sogan (kuru),Kg,6.0,9.0,0,1.2,0,7.5
2024-01-02,sogan (yeşi̇l),Kg,25.0,40.0,0,1.2,0,32.5
2024-01-02,tere,Bağ,4.0,8.0,0,1.2,0,6.0
2024-01-02,havuç,Kg,7.0,11.0,0,1.1,1,9.0
2024-01-02,kabak (bal),Kg,6.0,12.0,0,1.2,0,9.0
2024-01-02,kerevi̇z,Kg,10.0,15.0,0,1.2,0,12.5
2024-01-02,patates (i̇ki̇nci̇),Kg,9.0,12.0,0,1.0,1,10.5
2024-01-02,sogan (kirmizi),Kg,15.0,28.0,0,1.2,0,21.5
2024-01-02,pazi,Bağ,5.0,6.0,0,1.2,0,5.5
2024-01-02,turp (muhteli̇f),Kg,5.0,8.5,0,1.2,0,6.75
2024-01-02,zencefi̇l (taze),Kg,150.0,200.0,0,1.2,0,175.0
2024-01-02,ananas,Adet,45.0,60.0,1,1.2,0,52.5
2024-01-02,armut (deveci̇),Kg,25.0,38.0,0,1.1,0,31.5
2024-01-02,armut (muhteli̇f),Kg,28.0,40.0,0,1.1,0,34.0
2024-01-02,armut (santa mari̇na),Kg,33.0,45.0,0,1.1,0,39.0
2024-01-02,avakado,Adet,20.0,30.0,0,1.2,0,25.0
2024-01-02,çi̇lek,Kg,60.0,80.0,0,1.2,0,70.0
2024-01-02,elma (golden),Kg,18.0,28.0,0,1.1,0,23.0
2024-01-02,elma (starki̇ng),Kg,18.0,28.0,0,1.1,0,23.0
2024-01-02,elma (muhteli̇f),Kg,18.0,30.0,0,1.1,0,24.0
2024-01-02,elma (amasya),Kg,24.0,33.0,0,1.1,0,28.5
2024-01-02,elma (granny smi̇th),Kg,18.0,33.0,0,1.1,0,25.5
2024-01-02,eri̇k (anjeli̇ka),Kg,45.0,65.0,0,1.2,0,55.0
2024-01-02,hi̇ndi̇stan cevi̇zi̇,Adet,35.0,50.0,0,1.2,0,42.5
2024-01-02,li̇mon,Kg,4.0,10.0,0,1.2,0,7.0
