tarih,konya_ort_sicaklik,konya_min_sicaklik,konya_max_sicaklik,konya_toplam_yagis,konya_nem,konya_don_var,antalya_ort_sicaklik,antalya_min_sicaklik,antalya_max_sicaklik,antalya_toplam_yagis,antalya_nem,antalya_don_var,sicaklik_farki,antalya_don_lag1
2024-01-01,4.3,-0.3,8.3,0.5,76,1,11.5,7.7,15.6,4.3,82,0,-7.2,0
2024-01-02,7.2,3.4,13.6,4.1,82,0,13.5,11.8,16.5,12.6,87,0,-6.3,0
2024-01-03,6.1,0.0,13.1,3.0,80,0,13.0,8.2,18.2,0.0,77,0,-6.9,0
2024-01-04,8.7,4.8,14.6,0.0,74,0,14.4,11.3,18.1,0.0,81,0,-5.700000000000001,0
2024-01-05,9.1,5.7,12.7,0.0,65,0,15.1,10.1,21.2,0.0,70,0,-6.0,0
2024-01-06,4.8,-1.3,12.4,0.0,66,1,12.7,7.5,18.3,1.0,71,0,-7.8999999999999995,0
2024-01-07,6.4,1.0,14.2,0.0,72,0,14.7,12.6,15.6,35.1,90,0,-8.299999999999999,0
2024-01-08,9.0,5.1,14.1,0.1,75,0,14.4,11.5,17.9,0.2,87,0,-5.4,0
2024-01-09,6.9,4.2,10.7,9.9,88,0,12.4,10.9,14.3,30.9,92,0,-5.5,0
2024-01-10,3.9,2.0,6.4,1.5,88,0,10.9,9.4,12.6,5.7,83,0,-7.0,0
2024-01-11,3.6,1.0,6.8,0.4,76,0,11.4,7.7,16.5,0.0,58,0,-7.800000000000001,0
2024-01-12,1.7,-2.4,6.3,3.0,84,1,10.1,5.6,15.7,0.0,63,0,-8.4,0
2024-01-13,-0.6,-3.1,2.3,0.0,64,1,9.4,6.2,14.9,0.0,47,0,-10.0,0
2024-01-14,-2.0,-4.7,2.7,0.0,71,1,8.3,3.3,14.8,0.0,53,0,-10.3,0
2024-01-15,2.6,-3.7,9.9,0.0,67,1,10.1,6.5,14.4,0.0,69,0,-7.5,0
2024-01-16,6.6,2.8,12.3,0.3,78,0,12.5,9.6,17.5,2.3,81,0,-5.9,0
2024-01-17,6.0,1.0,12.1,0.1,84,0,13.7,10.4,18.2,0.0,77,0,-7.699999999999999,0
2024-01-18,6.8,-0.3,13.0,0.0,75,1,13.3,10.7,16.4,0.0,85,0,-6.500000000000001,0
2024-01-19,8.5,4.7,14.5,0.4,79,0,14.2,12.4,18.1,0.1,88,0,-5.699999999999999,0
2024-01-20,8.9,3.5,13.8,0.0,75,0,14.9,13.1,18.0,1.7,86,0,-6.0,0
2024-01-21,6.3,2.8,8.3,17.0,90,0,13.3,11.6,14.4,25.9,91,0,-7.000000000000001,0
2024-01-22,1.3,-0.1,3.5,0.3,72,1,12.5,10.2,17.0,6.5,54,0,-11.2,0
2024-01-23,-0.3,-3.0,3.3,0.0,68,1,11.3,7.1,17.1,0.0,54,0,-11.600000000000001,0
2024-01-24,-1.4,-4.7,3.7,0.0,68,1,10.3,5.0,18.5,0.0,57,0,-11.700000000000001,0
2024-01-25,-1.6,-5.6,4.0,0.0,70,1,9.6,4.7,16.0,0.0,62,0,-11.2,0
2024-01-26,0.4,-2.0,3.8,1.1,73,1,10.3,7.2,14.3,1.4,51,0,-9.9,0
2024-01-27,0.5,-1.7,3.9,0.0,62,1,9.7,7.1,14.1,0.0,43,0,-9.2,0
2024-01-28,-1.1,-4.6,3.4,0.0,70,1,8.7,4.1,13.9,0.0,45,0,-9.799999999999999,0
2024-01-29,-1.3,-3.0,1.2,0.1,70,1,8.2,5.0,12.7,0.0,40,0,-9.5,0
2024-01-30,-0.9,-3.4,2.4,0.3,65,1,9.1,7.3,12.9,0.1,40,0,-10.0,0
2024-01-31,0.7,-1.8,4.5,0.0,67,1,9.9,6.6,15.6,0.0,47,0,-9.200000000000001,0
2024-02-01,-0.3,-4.5,5.3,0.0,70,1,9.6,4.9,16.5,0.0,55,0,-9.9,0
2024-02-02,0.7,-4.2,6.5,0.0,67,1,9.5,3.9,15.6,0.0,64,0,-8.8,0
2024-02-03,0.1,-4.0,5.6,0.0,65,1,10.5,5.4,15.6,0.0,67,0,-10.4,0
2024-02-04,1.7,-3.4,8.0,0.0,70,1,9.6,3.5,15.8,0.0,67,0,-7.8999999999999995,0
2024-02-05,3.3,-2.2,10.6,0.0,67,1,12.1,6.8,19.9,0.0,58,0,-8.8,0
2024-02-06,5.8,-0.7,15.0,0.0,68,1,11.8,6.0,18.6,0.0,61,0,-6.000000000000001,0
2024-02-07,6.8,-0.9,17.5,0.0,69,1,11.2,4.1,17.7,0.0,72,0,-4.3999999999999995,0
