urun_kod,w_pred_random_forest,w_pred_lightgbm,w_pred_stacking
1,0.1277,0.2946,0.5777
2,0.2878,0.3078,0.4044
3,0.3432,0.3237,0.333
4,0.4142,0.2721,0.3137
5,0.1648,0.3832,0.4521
6,0.5409,0.146,0.3131
7,0.2934,0.4419,0.2647
9,0.4139,0.2821,0.304
10,0.3627,0.3677,0.2695
14,0.3303,0.344,0.3257
15,0.3106,0.3422,0.3472
17,0.3437,0.3313,0.325
18,0.3809,0.3013,0.3178
19,0.3111,0.3601,0.3288
20,0.3005,0.3527,0.3468
21,0.3268,0.3272,0.3461
22,0.3353,0.3424,0.3223
23,0.3191,0.3598,0.321
24,0.2553,0.3562,0.3886
25,0.3184,0.3581,0.3234
26,0.0193,0.0239,0.9569
27,0.2952,0.3756,0.3291
28,0.3135,0.3402,0.3462
29,0.2943,0.3592,0.3465
30,0.3384,0.3415,0.3201
31,0.3731,0.3192,0.3076
33,0.3412,0.323,0.3358
34,0.3167,0.3098,0.3735
35,0.3379,0.335,0.3271
36,0.3395,0.3075,0.353
37,0.1027,0.3675,0.5298
38,0.2522,0.5748,0.173
39,0.125,0.3836,0.4914
40,0.0916,0.3984,0.51
41,0.246,0.3446,0.4095
42,0.2569,0.3939,0.3493
43,0.2491,0.3969,0.354
44,0.2399,0.2733,0.4868
46,0.3441,0.3388,0.3171
47,0.3123,0.3288,0.3589
50,0.3769,0.2963,0.3268
51,0.3718,0.3102,0.318
52,0.3537,0.3238,0.3224
53,0.3665,0.2895,0.344
55,0.2224,0.3765,0.401
56,0.4807,0.3258,0.1936
57,0.2051,0.4418,0.3531
60,0.3453,0.3079,0.3468
61,0.5893,0.2116,0.1991
62,0.3214,0.3445,0.3341
63,0.3448,0.3392,0.316
64,0.3282,0.3424,0.3295
65,0.3465,0.3035,0.35
66,0.368,0.3152,0.3168
69,0.3445,0.3199,0.3356
70,0.3734,0.292,0.3346
71,0.4203,0.4845,0.0952
72,0.2984,0.3242,0.3774
74,0.6174,0.2203,0.1624
75,0.3211,0.3519,0.327
76,0.4259,0.2195,0.3545
77,0.4465,0.2702,0.2833
78,0.1198,0.365,0.5153
79,0.36,0.3123,0.3276
80,0.2786,0.3444,0.3769
82,0.6437,0.1008,0.2554
83,0.2999,0.3297,0.3705
84,0.3151,0.3418,0.343
86,0.5697,0.3235,0.1068
87,0.2579,0.4476,0.2945
88,0.3306,0.337,0.3324
89,0.402,0.299,0.2989
90,0.3463,0.3171,0.3366
91,0.3625,0.3155,0.322
92,0.4503,0.2757,0.274
94,0.3158,0.3606,0.3236
95,0.3108,0.3471,0.3421
96,0.4451,0.285,0.2698
97,0.3417,0.326,0.3323
98,0.332,0.3121,0.3558
100,0.369,0.2832,0.3478
101,0.2743,0.389,0.3367
102,0.1719,0.3954,0.4327
103,0.3274,0.3405,0.3321
104,0.3284,0.3436,0.328
105,0.3777,0.3426,0.2797
106,0.3344,0.3236,0.342
107,0.2897,0.3448,0.3655
108,0.3171,0.3531,0.3298
109,0.3815,0.3556,0.2629
110,0.2717,0.3737,0.3547
112,0.3122,0.3338,0.3539
113,0.3297,0.3448,0.3255
114,0.2704,0.4108,0.3188
115,0.3184,0.2995,0.3821
117,0.3044,0.4505,0.2451
118,0.3308,0.3375,0.3317
119,0.3541,0.3338,0.3121
120,0.3848,0.3476,0.2676
121,0.1758,0.4292,0.395
122,0.3278,0.34,0.3321
123,0.3201,0.2849,0.395
124,0.6318,0.165,0.2033
125,0.3174,0.293,0.3895
126,0.4228,0.2561,0.3211
127,0.4282,0.2793,0.2925
128,0.3693,0.3048,0.3259
129,0.2912,0.2965,0.4123
130,0.4462,0.1918,0.3619
133,0.3452,0.3132,0.3416
134,0.3397,0.3057,0.3545
135,0.2996,0.3199,0.3805
136,0.3349,0.2923,0.3728
