hafta_baslangic,urun,urun_kod,mevsim_kod,fiyat,lag_1h,lag_4h,lag_8h,lag_12h,lag_24h,lag_52h,roll4_ort,roll8_ort,roll12_ort,roll4_std,roll8_std,momentum_pct,trend_4_12,volatilite,hedef_haftalik,konya_sic,konya_yagis,konya_don,antalya_sic,antalya_don_lag1,sic_fark,dolar_kuru,mazot_fiyati,yil,hafta_no,ay,ceyrek,hafta_sin,hafta_cos,lojistik,kur_x_yabanci
2023-01-31,AHUDUDU (PAKET),0,0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,-1.042857142857143,29.0,1.0,7.757142857142857,0.0,-8.8,30.61904761904762,29.0,2023,5,1,1,0.5680647467311558,0.8229838658936564,37.7,30.61904761904762
2023-01-31,AHUDUDU (PAKET),0,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,-1.042857142857143,29.0,1.0,7.757142857142857,0.0,-8.8,30.61904761904762,29.0,2023,5,1,1,0.5680647467311558,0.8229838658936564,37.7,30.61904761904762
2023-02-07,AHUDUDU (PAKET),0,3,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,-8.442857142857141,1.2,1.0,6.057142857142857,1.0,-14.5,30.666666666666668,29.0,2023,6,2,1,0.6631226582407952,0.7485107481711011,37.7,30.666666666666668
2023-02-28,AHUDUDU (PAKET),0,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,11.085714285714285,6.2,0.0,14.1,0.0,-3.0142857142857147,30.952380952380953,29.0,2023,9,2,1,0.8854560256532099,0.4647231720437686,37.7,30.952380952380953
2023-03-07,AHUDUDU (PAKET),0,2,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,8.528571428571428,29.200000000000003,0.0,13.37142857142857,0.0,-4.8428571428571425,31.0,29.0,2023,10,3,1,0.9350162426854148,0.35460488704253557,37.7,31.0
2023-04-04,AHUDUDU (PAKET),0,3,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,10.1,8.4,0.0,14.057142857142859,0.0,-3.957142857142857,31.333333333333332,29.0,2023,14,4,2,0.992708874098054,-0.12053668025532288,37.7,31.333333333333332
2023-04-11,AHUDUDU (PAKET),0,0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,11.042857142857143,3.8000000000000003,0.0,15.014285714285714,0.0,-3.9714285714285715,31.333333333333332,29.0,2023,15,4,2,0.9709418174260521,-0.2393156642875575,37.7,31.333333333333332
2023-04-25,AHUDUDU (PAKET),0,0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,9.857142857142858,14.2,0.0,15.62857142857143,0.0,-5.771428571428572,31.38095238095238,29.0,2023,17,4,2,0.8854560256532099,-0.4647231720437685,37.7,31.38095238095238
2023-05-02,AHUDUDU (PAKET),0,2,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,14.228571428571428,3.4,0.0,18.271428571428572,0.0,-4.042857142857143,31.666666666666668,29.0,2023,18,5,2,0.8229838658936565,-0.5680647467311557,37.7,31.666666666666668
2023-05-09,AHUDUDU (PAKET),0,3,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,15.728571428571428,9.6,0.0,20.357142857142858,0.0,-4.628571428571429,31.666666666666668,29.0,2023,19,5,2,0.7485107481711013,-0.663122658240795,37.7,31.666666666666668
2023-05-30,AHUDUDU (PAKET),0,0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,16.2,18.9,0.0,20.428571428571427,0.0,-4.228571428571429,31.904761904761905,29.0,2023,22,5,2,0.46472317204376906,-0.8854560256532096,37.7,31.904761904761905
